price,nights,rating,destination
856,1,4.1,Moldova
913,7,4.7,Moldova
1004,9,3.8,Turkey
1708,4,4.8,Romania
840,6,3.4,Italy
2427,8,4.6,Romania
1956,8,4.6,Turkey
496,1,4.9,Moldova
887,14,3.6,Italy
2003,11,4.9,Turkey
1416,1,4.5,Turkey
686,3,4.3,Italy
745,9,4.5,Moldova
1647,13,4.1,Turkey
1662,10,3.9,Turkey
1640,13,5.0,Moldova
314,8,4.8,Greece
772,14,4.2,Romania
1493,4,3.9,Turkey
2054,13,4.0,Italy
1804,11,4.2,Romania
1379,14,3.1,Romania
2369,14,3.9,Greece
2209,9,3.4,Greece
908,1,3.7,Italy
782,1,3.7,Turkey
1653,6,3.9,Turkey
352,6,3.9,Romania
2304,7,3.3,Turkey
1885,2,3.8,Turkey
1051,3,3.1,Turkey
2055,11,4.9,Moldova
867,9,3.4,Italy
1769,2,3.4,Turkey
682,14,4.9,Italy
2433,8,4.4,Italy
2366,2,4.3,Italy
997,8,3.3,Italy
625,10,3.8,Moldova
1513,8,4.8,Italy
1944,3,3.2,Italy
1674,2,4.6,Romania
606,3,4.4,Turkey
1673,14,4.9,Greece
1340,4,4.2,Greece
2489,2,3.5,Moldova
2316,3,4.9,Moldova
671,8,3.1,Turkey
423,11,4.6,Romania
853,4,4.6,Greece
