price,nights,rating,destination
2243,9,4.6,Moldova
974,11,3.4,Italy
477,14,4.2,Moldova
1493,8,3.4,Romania
515,6,4.0,Romania
2050,2,4.5,Moldova
1931,12,3.7,Italy
699,7,4.7,Turkey
1075,14,3.1,Greece
1308,12,3.6,Italy
2237,5,4.4,Turkey
1281,9,4.0,Italy
1639,12,3.1,Moldova
1782,13,4.1,Turkey
1650,8,4.6,Italy
1071,7,3.8,Italy
320,6,3.1,Italy
1352,14,3.6,Greece
2450,6,3.8,Turkey
1276,11,3.4,Moldova
1322,4,4.3,Romania
1029,14,3.7,Moldova
1447,5,4.0,Italy
695,9,4.3,Romania
642,7,5.0,Italy
387,9,4.4,Romania
706,8,4.8,Romania
1731,1,3.2,Italy
2190,11,4.6,Italy
1864,4,4.0,Turkey
2067,10,3.2,Greece
1458,11,4.5,Greece
1689,6,4.8,Greece
1222,12,5.0,Romania
2490,8,4.8,Romania
616,4,4.2,Romania
969,13,4.5,Italy
1336,11,4.5,Italy
458,13,4.1,Greece
2118,14,4.3,Italy
1201,6,4.6,Greece
396,14,3.5,Greece
2019,7,3.7,Romania
1876,12,3.7,Romania
1644,4,3.6,Romania
957,6,4.9,Moldova
1471,6,4.1,Turkey
573,10,4.6,Italy
629,13,4.2,Turkey
1856,2,4.1,Greece
